,index,customer_type,session_duration_microseconds,signed_up,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,price,quantity,total_cost,entered_store,visited_purposeful_shelves,entered_dm,visited_digi_me,visited_personalised_store,entered_welcome,entered_purposeful_shelves,cos_month,cos_wday,completed_transaction
741,12,0,0.0207374567535459,0,10,0,0,0,0,4.244035428527823e-05,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,6.123233995736766e-17,0.6234898018587336,0
742,353,1,0.0077754362219767,0,8,0,0,0,0,3.955819800746138e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.7818314824680298,0
743,164,0,0.006549836770952,0,2,0,0,0,0,0.0052580505222828,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9009688679024191,0
744,665,0,0.1510749002785845,0,80,0,8,34,0,0.0001730051489735,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.7818314824680298,0
745,269,1,0.0068404428462923,1,24,0,2,10,1,0.0886092937559058,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.9749279121818236,0
746,761,1,0.0248361834308138,1,29,0,5,3,0,2.3605530821862498e-05,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.7818314824680298,0
747,709,1,0.1266657450582943,1,98,0,18,15,1,5.871576224014104e-05,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,1,0.5877852522924731,0.4338837391175582,0
748,1059,0,0.0118956613381748,0,7,0,0,0,0,0.0002001377217563,0,0,0,3,0.0,0.0,0.0,1,0,1,0,0,1,1,0.1564344650402309,0.4338837391175582,0
749,391,0,0.0882132616867396,0,34,0,12,25,0,2.0076741110315395e-05,0,5,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.6234898018587336,0
750,181,0,0.1393513166670814,0,40,0,1,3,0,0.0001145030923046,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.7818314824680298,0
751,364,1,0.0075761463371748,1,29,0,2,0,0,5.864853963334972e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.7818314824680298,0
752,627,0,0.0134040413527538,0,70,0,10,3,0,0.013936138498445,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.7818314824680298,0
753,51,1,0.0018872222568662,0,9,0,0,2,0,1.4547885607501864e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9009688679024191,0
754,1340,1,0.0011174905658089,0,6,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
755,1048,0,0.0274573043463762,0,19,0,0,6,0,3.203136652916048e-05,0,2,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
756,746,0,3.956896288489882e-06,0,3,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.9749279121818236,0
757,224,0,3.4424320655987136e-05,0,2,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.4338837391175582,0
758,327,1,0.0017865869033506,0,9,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.9009688679024191,0
