event_date,session_timestamp,event_wday,user_id,user_customer_id,session_duration_microseconds,visited_personalised_store,personalise_store_pageviews,visited_purposeful_shelves,purposeful_shelves_pageviews,visited_digi_me,digi_me_pageviews,entered_store,entered_purposeful_shelves,entered_dm,entered_welcome
09/09/2022,1.66272E+15,Friday,CDFCEB9521BF48FA989BAC1FA77AABD2,Jl2owNohjiWP6nne7wYTHgqlEOC3,293892016,0,0,1,6,0,0,1,1,0,1
09/09/2022,1.66272E+15,Friday,890AF9D4FA8D412D920C49789ACC2ABA,mZhPRMCe6ihCGgr4WLNKA74Lfcq2,3404878005,0,0,1,2,0,0,1,1,0,1
02/09/2022,1.66213E+15,Friday,CA987884BA0A47A4AF602B365E8F0E82,61gdPddDxtQcBdQycs15Z8UhYHl2,2915680042,0,0,1,4,0,0,1,1,1,1
05/08/2022,1.65968E+15,Friday,12b8871209c2c81f891fd66ac6663867,K9KeA6etCVe1opm6b1ThDsMiVW33,32913557040,0,0,1,4,0,0,1,1,1,0
05/08/2022,1.6597E+15,Friday,9A6EDE6540B54BE2987FCEDDF4986A76,fvvpm6afISaFbcNa4GF7m62D83n2,14020630004,1,1,1,19,0,0,1,0,1,1
05/08/2022,1.65969E+15,Friday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,132189002,0,0,1,2,0,0,1,0,0,1
17/06/2022,1.65545E+15,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,3kg2y8EKCHXUgRdLIlgE3exjLqF3,129909006,0,0,1,3,0,0,1,1,0,1
17/06/2022,1.65546E+15,Friday,DA748FA4CE694AE1BD30BE17B4408557,o1GaW08fHohHFrJRTpHallqxRUz2,116774001,0,0,1,2,0,0,1,1,0,0
17/06/2022,1.65546E+15,Friday,7CE00576105E4085A08B601666037B5A,PFKkChj9lhTaqVxaVbWRGrOdNa52,2877310016,0,0,1,5,0,0,1,1,0,0
17/06/2022,1.65545E+15,Friday,412dfa3b46d33e1c67a82946bccd5a45,CK8zzagBwJaJz3eygIuvIWBL4Mu1,11477221003,1,44,1,126,0,0,1,1,0,1
17/06/2022,1.65546E+15,Friday,2de8b55c73dfdf5310445a0a910249d3,1oI6MYCl35e4kKCoOYzuOQvr9lO2,1607973033,1,53,1,3,0,0,1,1,1,1
