event_date,session_timestamp,event_wday,user_id,user_customer_id,session_id,ga_session_number,customer_type,session_duration_microseconds,completed_transaction,signed_up,transaction_value,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,date,item_id,item_name,order_id,price,quantity,time,total_cost,entered_dm,entered_purposeful_shelves,entered_store,entered_welcome,visited_digi_me,visited_personalised_store,visited_purposeful_shelves
2022-09-23,1663940740472001,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,,1,New Visitor,20888005,0,0,,3,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,0,0,0
2022-09-23,1663940740472001,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,,1,New Visitor,20888005,0,0,,3,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,1,0,1,1
2022-09-23,1663931735347000,Friday,e086b005b05965ffe236c3bcc8546d4b,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1663931613,1,New Visitor,2632529021,0,0,,73,0,0,0,0,343980028,0,0,0,6,,,,,,,,,0,1,1,1,0,0,0
2022-09-23,1663931735347000,Friday,e086b005b05965ffe236c3bcc8546d4b,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1663931613,1,New Visitor,2632529021,0,0,,73,0,0,0,0,343980028,0,0,0,6,,,,,,,,,0,1,1,1,0,0,0
2022-09-23,1663931735347000,Friday,e086b005b05965ffe236c3bcc8546d4b,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1663931613,1,New Visitor,2632529021,0,0,,73,0,0,0,0,343980028,0,0,0,6,,,,,,,,,1,1,1,1,0,0,0
2022-09-23,1663931735347000,Friday,e086b005b05965ffe236c3bcc8546d4b,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1663931613,1,New Visitor,2632529021,0,0,,73,0,0,0,0,343980028,0,0,0,6,,,,,,,,,0,1,1,1,0,1,1
2022-09-23,1663943091360000,Friday,bd1e34d007278fea519d51c98d349641,vxhkF3PN3oNPjzUzJx4iMdZLFz43,1663943015,1,New Visitor,2205206007,0,1,,22,0,3,1,0,1384206998,0,0,0,0,,,,,,,,,1,1,1,1,0,0,1
2022-09-23,1663934391998000,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,1663931613,1,New Visitor,214686003,0,1,,14,0,1,0,0,6137355996,0,0,0,0,,,,,,,,,0,1,1,1,0,0,0
2022-09-23,1663934391998000,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,1663931613,1,New Visitor,214686003,0,1,,14,0,1,0,0,6137355996,0,0,0,0,,,,,,,,,0,1,1,1,0,0,0
2022-09-23,1663934391998000,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,1663931613,1,New Visitor,214686003,0,1,,14,0,1,0,0,6137355996,0,0,0,0,,,,,,,,,1,1,1,1,0,0,0
2022-09-23,1663934391998000,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,1663931613,1,New Visitor,214686003,0,1,,14,0,1,0,0,6137355996,0,0,0,0,,,,,,,,,0,1,1,1,0,1,1
2022-07-15,1657882820351001,Friday,9e8181aa9471ad5c440934ed0a24fc20,,1657882807,1,New Visitor,215543999,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-04-15,1650026525238000,Friday,8FB092AFFEAB4FA190756BC15F34D11E,FesTPWuzkEd5mQTNbdBpx02g15E2,1650026444,1,New Visitor,417327017,0,1,,29,0,0,21,0,15163008,0,0,0,0,,,,,,,,,,,,,,,
2022-04-15,1650026445018002,Friday,8FB092AFFEAB4FA190756BC15F34D11E,,1650026444,1,New Visitor,9128007,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-05,1659695673227001,Friday,6d1a754650e15e72725c9341f7a2db19,,1659695671,1,New Visitor,151662002,0,0,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-05,1659694803199002,Friday,B69817DCE7444D4B8BA14F387463C32E,,1659694802,1,New Visitor,107076999,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-05,1659679994278001,Friday,9fb157a06841e2ddf8e1af3a8e62754c,,1659679992,1,New Visitor,11758999,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-05,1659680077928000,Friday,9fb157a06841e2ddf8e1af3a8e62754c,wpb1zPIaWdZuB47HdayII4IRHsH3,1659679992,1,New Visitor,4243267000,0,1,,43,1,1,19,0,7019003,0,0,0,0,,,,,,,,,,,,,,,
2022-08-05,1659694960525000,Friday,B69817DCE7444D4B8BA14F387463C32E,JKuDppnNQuRYN1r266Kshtg4ZxH2,1659694802,1,New Visitor,95345021,0,1,,19,0,5,4,0,14011003,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655454534697002,Friday,891BFF7D21144FB0BBD1B3454D9B2E02,,1655454534,1,New Visitor,182002,0,0,,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655454542564001,Friday,891BFF7D21144FB0BBD1B3454D9B2E02,JpjD54pHONhG9LexFWxuZHe3NmE2,1655454534,1,New Visitor,2439004,0,0,,3,0,0,2,0,2421003,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655454704773002,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,,1655454704,1,New Visitor,0,0,0,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,1,0,0,1
2022-06-17,1655454707522000,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,JpjD54pHONhG9LexFWxuZHe3NmE2,1655454704,1,New Visitor,15352001,0,0,,5,0,0,0,0,5107002,0,0,0,0,,,,,,,,,0,1,1,1,0,0,1
2022-06-17,1655456594440001,Friday,2c2d94b21b842bd82da93c9cbfc4d5c2,,1655456593,1,New Visitor,66965009,0,0,,6,0,0,0,0,1626505993,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655456717998000,Friday,2c2d94b21b842bd82da93c9cbfc4d5c2,sif4IFFqSkh4Z7UqmpS5witqzfS2,1655456593,1,New Visitor,254610000,0,0,,17,0,0,20,0,55506006,0,16,0,0,,,,,,,,,,,,,,,
2022-06-17,1655458266063002,Friday,A6950E3E47C4415E92EE3CAEAC407615,,1655458265,1,New Visitor,13112008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655458439088002,Friday,7CE00576105E4085A08B601666037B5A,,1655458438,1,New Visitor,6781008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,0,0,0,1
2022-06-17,1655460583906002,Friday,DA748FA4CE694AE1BD30BE17B4408557,,1655460583,1,New Visitor,9486008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,0,0,0,1
2022-06-17,1655460692945001,Friday,2de8b55c73dfdf5310445a0a910249d3,,1655460692,1,New Visitor,10301004,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,0,1,1
2022-06-17,1655461469364002,Friday,30280E3F528B4AFD924FCCA6D3D3F69A,,1655461468,1,New Visitor,10035008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655481540630001,Friday,306E3ED6513342D099F412838090E30B,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655481498,1,New Visitor,481166003,0,0,,9,0,0,5,0,51024005,0,1,0,0,,,,,,,,,,,,,,,
2022-06-17,1655481499021002,Friday,306E3ED6513342D099F412838090E30B,,1655481498,1,New Visitor,41475003,0,0,,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655482100991002,Friday,542FA9F38631432589D3C1645C90E7CF,,1655482100,1,New Visitor,343003,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655482105451001,Friday,542FA9F38631432589D3C1645C90E7CF,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655482100,1,New Visitor,33707002,0,0,,2,0,0,5,0,14575000,0,4,0,0,,,,,,,,,,,,,,,
2022-06-17,1655454776755000,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,3kg2y8EKCHXUgRdLIlgE3exjLqF3,1655454704,1,New Visitor,195973004,0,1,,65,0,1,19,0,38112006,0,0,0,0,,,,,,,,,0,1,1,1,0,0,1
2022-06-17,1655456997589000,Friday,2c2d94b21b842bd82da93c9cbfc4d5c2,eBonfvLErHOdIBo1ln4MimTOtO53,1655456593,1,New Visitor,986634002,0,1,,34,0,1,10,0,92720007,0,3,0,0,,,,,,,,,,,,,,,
2022-06-17,1655460654949000,Friday,DA748FA4CE694AE1BD30BE17B4408557,o1GaW08fHohHFrJRTpHallqxRUz2,1655460583,1,New Visitor,260736003,0,1,,49,0,1,14,0,27436013,0,0,0,0,,,,,,,,,0,1,1,0,0,0,1
2022-06-17,1655461538912000,Friday,30280E3F528B4AFD924FCCA6D3D3F69A,BRqsgGS5vJRQ9z1CnWLa2CT2ia22,1655461468,1,New Visitor,91020005,0,1,,11,0,1,2,0,19024000,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655460745633000,Friday,2de8b55c73dfdf5310445a0a910249d3,1oI6MYCl35e4kKCoOYzuOQvr9lO2,1655460692,1,New Visitor,1731308002,0,1,,32,0,3,4,0,108608996,0,0,0,0,,,,,,,,,1,1,1,1,0,1,1
2022-06-17,1655458528798000,Friday,A6950E3E47C4415E92EE3CAEAC407615,yhsSQGnSDvTzV0F04zcUt3dah2R2,1655458265,1,New Visitor,2971697000,0,1,,80,0,9,6,0,441147999,0,0,0,0,,,,,,,,,,,,,,,
2022-06-17,1655458492318000,Friday,7CE00576105E4085A08B601666037B5A,PFKkChj9lhTaqVxaVbWRGrOdNa52,1655458438,1,New Visitor,2881089004,0,1,,98,0,18,15,1,638541034,0,0,0,0,,,,,,,,,0,1,1,0,0,0,1
2022-06-17,1655454321224000,Friday,412dfa3b46d33e1c67a82946bccd5a45,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655393727,1,New Visitor,20119347004,1,0,190,192,0,20,195,0,8255190023,11,63,0,4,20220617,1e7a3c17-888b-4446-8dce-09f4dc52f0f5,Oomf Golden Syrup Flavour,202206171655471279627000CK8zzagBwJaJz3eygIuvIWBL4Mu1,190,1,1655471279627000,190,0,1,1,1,0,1,1
2022-06-17,1655454321224000,Friday,412dfa3b46d33e1c67a82946bccd5a45,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655393727,1,New Visitor,20119347004,1,0,190,192,0,20,195,0,8255190023,11,63,0,4,20220617,1e7a3c17-888b-4446-8dce-09f4dc52f0f5,Oomf Golden Syrup Flavour,202206171655471279627000CK8zzagBwJaJz3eygIuvIWBL4Mu1,190,1,1655471279627000,190,1,1,1,0,0,0,1
2022-06-17,1655454321224000,Friday,412dfa3b46d33e1c67a82946bccd5a45,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655393727,1,New Visitor,20119347004,1,0,190,192,0,20,195,0,8255190023,11,63,0,4,20220617,1e7a3c17-888b-4446-8dce-09f4dc52f0f5,Oomf Golden Syrup Flavour,202206171655471279627000CK8zzagBwJaJz3eygIuvIWBL4Mu1,190,1,1655471279627000,190,0,1,1,1,0,1,1
2022-07-29,1659093172124000,Friday,4AA0E16F015046DA85AD65BFCD17C040,,1659093171,1,New Visitor,270003,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659097444832002,Friday,F54FF93DEDCA4586A2151EDB8348F768,,1659097444,1,New Visitor,8256008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659106527103001,Friday,4f6c79574bb0fbe6ee1bbf5b695bb6ea,,1659106525,1,New Visitor,27256001,0,0,,6,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659097442442002,Friday,81E6F455E7CA4A03B1FAD12506FBF72C,,1659097441,1,New Visitor,11770008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659106559010000,Friday,4f6c79574bb0fbe6ee1bbf5b695bb6ea,BvsIWW02yVXShz0IPtjU0UDsNra2,1659106525,1,New Visitor,153040001,0,0,,19,0,0,21,0,3607004,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659093176078001,Friday,4AA0E16F015046DA85AD65BFCD17C040,OlVAIcxa7ybnHdhGqcBeUqqeG5k1,1659093171,1,New Visitor,2622646004,0,0,,59,0,4,20,0,104713017,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659097491462000,Friday,81E6F455E7CA4A03B1FAD12506FBF72C,tbC7UmrExeXhJdzGgeKgN0HQ7aF3,1659097441,1,New Visitor,155961003,0,1,,26,0,1,0,0,11584002,0,0,0,0,,,,,,,,,,,,,,,
2022-07-29,1659097493559000,Friday,F54FF93DEDCA4586A2151EDB8348F768,uyR2ARwgahWPdHhhx7GCOEBnaZj2,1659097444,1,New Visitor,56590008,0,1,,13,0,1,0,0,5227999,0,0,0,0,,,,,,,,,,,,,,,
2022-04-01,1648800596323002,Friday,6B7A07FDAC42470DBC2EAAA1DB59C157,,1648800596,1,New Visitor,9272008,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-04-01,1648801634766001,Friday,a1fa602cbca80fe35b11ad54c4eee83a,,1648801634,1,New Visitor,10403999,0,0,,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-04-01,1648801682354000,Friday,a1fa602cbca80fe35b11ad54c4eee83a,7Lw3CCgex4fzVojFtf0l8S3BMX93,1648801634,1,New Visitor,17500000,0,1,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-04-01,1648800670410000,Friday,6B7A07FDAC42470DBC2EAAA1DB59C157,GkzS6Ox6zRSYpExtPSbTVfHcV5u2,1648800596,1,New Visitor,1295709022,0,1,,43,0,23,13,0,850720955,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660896922030001,Friday,2fddf2c9818c281d598c0ffe1cbb5f19,,1660896920,1,New Visitor,103649009,0,0,,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660897039130000,Friday,2fddf2c9818c281d598c0ffe1cbb5f19,wTfJ0GZ3dTNG4aCzA5lstW7Dk423,1660896920,1,New Visitor,1521988002,0,0,,6,0,1,0,0,1558428998,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660905069348001,Friday,89dd30243be06bf5e9196883141ed74e,,1660905068,1,New Visitor,45077009,0,0,,6,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660905119662000,Friday,89dd30243be06bf5e9196883141ed74e,hjRP0AmeMkeswtXtyowwWn1d0mr1,1660905068,1,New Visitor,453111002,0,0,,16,0,0,15,0,5725430000,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660918490646001,Friday,b4f6b3bae613f7cc884ff1613417fc43,,1660918488,1,New Visitor,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660898318152002,Friday,D6041EE669B947759D53D21A99852264,,1660898317,1,New Visitor,4454006,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-19,1660900119547000,Friday,29e4f86e7abbff50683fc854c8922667,wTfJ0GZ3dTNG4aCzA5lstW7Dk423,1660896920,1,New Visitor,0,0,0,,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-05-20,1653038767007000,Friday,3F06EEAA2CBE422B9B00E38EED29B1BC,DEeIuCR0Aggz1uvbQFcVaNtvV6u1,1653038730,1,New Visitor,34510083,0,1,,81,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-05-20,1653038731453002,Friday,3F06EEAA2CBE422B9B00E38EED29B1BC,,1653038730,1,New Visitor,8775007,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718596481002,Friday,BC87ACCE847443D49A25FDBB71FAB1EF,,1662718596,1,New Visitor,15876999,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718622427002,Friday,DCE9A5400156415291986B297DA42749,,1662718622,1,New Visitor,10848008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718408264001,Friday,83eba3923e4a5427fed78ff7bb4cff5e,,1662718407,1,New Visitor,239064003,0,0,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718643725002,Friday,D94A956AF5CB41E0A0022EC8173964C8,,1662718643,1,New Visitor,33947999,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662712692056002,Friday,3001330AF7794F48AEFBE04606E52DC7,,1662712691,1,New Visitor,6352008,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718586460002,Friday,02A7455546FC47DCA3EC574C9CF95405,,1662718586,1,New Visitor,18644999,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,0,0,1,0
2022-09-09,1662718639953002,Friday,CDFCEB9521BF48FA989BAC1FA77AABD2,,1662718639,1,New Visitor,40276999,0,0,,7,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,1,0,0,1
2022-09-09,1662722746731000,Friday,61f78a8a958b24ff1ff3ef539335a697,s5sMqCayngaywqUZPIfa47lxMsm2,1662554357,1,New Visitor,0,0,0,,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662712739573000,Friday,3001330AF7794F48AEFBE04606E52DC7,1nUG5RPt8nXuyXtEGhwD3a5aC0c2,1662712691,1,New Visitor,155649009,0,1,,23,0,1,0,0,37113001,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718721294000,Friday,D94A956AF5CB41E0A0022EC8173964C8,4kkcEjlClsdwdVVmSaaNrxd0OMo2,1662718643,1,New Visitor,858965036,0,1,,74,0,8,33,0,159161976,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718644565000,Friday,BC87ACCE847443D49A25FDBB71FAB1EF,6j9y6RMGplVSYyXBGK1VYYncENc2,1662718596,1,New Visitor,724322007,0,1,,47,0,9,12,0,279805999,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718747229000,Friday,CDFCEB9521BF48FA989BAC1FA77AABD2,Jl2owNohjiWP6nne7wYTHgqlEOC3,1662718639,1,New Visitor,751926020,0,1,,44,0,5,6,0,168100016,0,0,0,0,,,,,,,,,0,1,1,1,0,0,1
2022-09-09,1662718666927000,Friday,02A7455546FC47DCA3EC574C9CF95405,TfnVfBz3yqeRsjRzIHrYUvHxobU2,1662718586,1,New Visitor,778867001,0,1,,29,0,2,1,0,346228994,0,0,0,0,,,,,,,,,0,1,1,0,0,1,0
2022-09-09,1662718683503000,Friday,DCE9A5400156415291986B297DA42749,b2Bu1GRLxugJo8FWoI4gzaNcGH72,1662718622,1,New Visitor,1527993004,0,1,,52,0,5,6,0,425691018,0,0,0,0,,,,,,,,,,,,,,,
2022-09-09,1662718680476000,Friday,83eba3923e4a5427fed78ff7bb4cff5e,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1662718407,1,New Visitor,125192008,0,1,,14,0,5,0,0,7251001,0,0,0,0,,,,,,,,,,,,,,,
2022-08-12,1660300638001001,Friday,3acb32b0ac60e2d92f3519e1953342ed,,1660300631,1,New Visitor,17636999,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-12,1660297944110002,Friday,989489D821054649BC95C0B08C6BD3FF,,1660297943,1,New Visitor,19007999,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-12,1660311465964001,Friday,78071952dea07f4b02e357a858ae4616,,1660311463,1,New Visitor,10024004,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-12,1660279041909002,Friday,821B8E3EE34845C68797E37C2D074F1C,,1660279041,1,New Visitor,4805006,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-08-12,1660300727906000,Friday,3acb32b0ac60e2d92f3519e1953342ed,5i6nwLtccRYnugcShsO5aG3yYPw1,1660300631,1,New Visitor,2444732001,0,1,,33,0,5,5,0,1255891901007,0,1,0,1,,,,,,,,,,,,,,,
2022-08-12,1660311509599000,Friday,78071952dea07f4b02e357a858ae4616,MxwYodVOxTTaW3STYjPLFhvVqGx2,1660311463,1,New Visitor,1237680002,0,1,,13,0,1,0,0,103503002,0,0,0,3,,,,,,,,,,,,,,,
2022-06-24,1656080892877002,Friday,176EF79CEEDD473DA201B6FDD77FF02F,,1656080892,1,New Visitor,4159006,0,0,,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2022-06-24,1656058801953002,Friday,B98A0134AF3D44C5AA1347144843B8AF,,1656058801,1,New Visitor,237003,0,0,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
