session_id,completed_transaction
1661516763.0,0
1661495705.0,0
1661958852.0,0
1656311064.0,0
1664185206.0,0
1664794073.0,0
1657643364.0,0
1656073088.0,0
1663772887.0,0
1664284588.0,0
1657272670.0,0
1656571230.0,0
1655740880.0,0
1661351776.0,0
1658569626.0,0
1657272597.0,0
1656326327.0,0
1656065302.0,0
1656086512.0,0
1656426924.0,0
1655976148.0,0
1656082534.0,0
1655820616.0,0
1655791067.0,0
1655809063.0,0
1663850871.0,0
1655916068.0,1
1655815738.0,0
1656334156.0,0
1655886497.0,0
1662555012.0,0
1662539695.0,0
1662475080.0,0
1662381084.0,0
1659704646.0,0
1659645750.0,0
1657212997.0,0
1662718507.0,0
1661348756.0,0
1662113277.0,0
1661953716.0,0
1663238024.0,0
1661516746.0,0
1663233063.0,0
1661358574.0,0
1662384690.0,0
1662636894.0,0
1662049428.0,0
1662474843.0,0
1662456800.0,0
1662564894.0,0
1663073156.0,0
1662629150.0,0
1662040379.0,0
1663229425.0,0
1662568655.0,0
1654766424.0,0
1652089079.0,0
1652890460.0,0
1651147708.0,0
1654771978.0,0
1658831459.0,0
1659637153.0,0
1657227022.0,0
1658417931.0,0
1654763177.0,0
1653592327.0,0
1648724536.0,0
1651751253.0,0
1657022390.0,0
1651583209.0,0
1663751844.0,0
1648997558.0,0
1648469956.0,0
1663678268.0,0
1663752500.0,0
1662712691.0,0
1655460692.0,0
1655478419.0,0
1660816684.0,0
1660739569.0,0
1661429309.0,0
1658999316.0,0
1659625306.0,0
1662568329.0,0
1659002539.0,0
1658998522.0,0
1664379019.0,0
1664375818.0,0
0.0,0
1664364244.0,0
1664360598.0,0
1655454704.0,0
1658320716.0,0
1662718643.0,0
1664197449.0,0
1663754764.0,0
1658999210.0,0
1659002726.0,0
1659004994.0,0
1659181922.0,0
1657115562.0,0
1660300631.0,0
1660218442.0,0
1661687859.0,0
1649137508.0,0
1661876010.0,0
1661335326.0,0
1661533787.0,0
1661333033.0,0
1662501578.0,0
1661423965.0,1
1661436344.0,0
1661432235.0,0
1661420172.0,0
1662108154.0,1
1660753183.0,0
1662359147.0,0
1662371669.0,0
1661350377.0,0
1661324496.0,0
1661327435.0,0
1661360455.0,0
1661334097.0,0
1661515603.0,0
1661451540.0,1
1661437284.0,1
1661503552.0,0
1661935047.0,0
1662127677.0,0
1660813759.0,0
1660836230.0,0
1661174197.0,0
1661162675.0,0
1661170352.0,0
1661185439.0,0
1662371786.0,0
1661263668.0,0
1661842205.0,0
1660905960.0,0
1662036099.0,0
1660145131.0,0
1660313811.0,0
1660924344.0,0
1661429408.0,0
1661962218.0,0
1661440879.0,1
1661263773.0,0
1660128573.0,0
1660218276.0,0
1660229966.0,0
1660133987.0,0
1660288691.0,0
1660225772.0,0
1656938757.0,0
1656510843.0,0
1662718596.0,0
1658993847.0,0
1658951537.0,0
1658848007.0,0
1648801634.0,0
1660729279.0,0
1659608070.0,0
1659349144.0,0
1658906134.0,0
1659342679.0,0
1658848048.0,0
1658764397.0,0
1662569323.0,0
1658752937.0,0
1658832968.0,1
1664303802.0,0
1648559448.0,0
1648547259.0,0
1650971078.0,0
1649163476.0,0
1657103416.0,0
1650364006.0,0
1649755930.0,0
1648731188.0,0
1655163014.0,0
1649362693.0,0
1650984159.0,0
1650620163.0,0
1650451237.0,0
1648728615.0,0
1651148298.0,0
1660800335.0,0
1664460806.0,0
1665335014.0,0
1664502735.0,0
1664457642.0,0
1654593588.0,0
1652899956.0,0
1663941739.0,0
1655745880.0,0
1664376085.0,0
1655796389.0,0
1663944089.0,0
1663946290.0,0
1655739480.0,0
1659517933.0,0
1659603960.0,0
1659687901.0,0
1661361456.0,0
1657183919.0,0
1657105937.0,0
1657634230.0,0
1657116543.0,0
1657124343.0,0
1657186731.0,0
1657095136.0,0
1657019702.0,0
1658134670.0,0
1657034275.0,0
1657625514.0,0
1657028582.0,0
1657201011.0,0
1659544517.0,0
1659531103.0,0
1665050872.0,0
1658438123.0,0
1663936054.0,0
1662624958.0,0
1663502087.0,0
1664392565.0,0
1665168886.0,0
1660680491.0,0
1664268496.0,0
1655461468.0,0
1652892942.0,0
1652899784.0,0
1657696544.0,0
1650978877.0,0
1651600178.0,0
1653335019.0,0
1653325199.0,0
1651580901.0,0
1650970594.0,0
1651126668.0,0
1653410843.0,0
1648796109.0,0
1657698087.0,0
1653403202.0,0
1664197029.0,0
1659434619.0,0
1659437835.0,0
1658999314.0,0
1659085650.0,0
1659109971.0,0
1659106525.0,0
1659515146.0,0
1659346558.0,1
1659342498.0,0
1663066036.0,0
1663866605.0,0
1664378848.0,0
1663947091.0,0
1663942534.0,0
1662391024.0,0
1657269214.0,0
1656690772.0,0
1657272252.0,0
1655480959.0,0
1657284526.0,0
1657287415.0,0
1657290604.0,0
1655715814.0,0
1656684716.0,0
1655482100.0,0
1657948137.0,0
1657185469.0,0
1655390752.0,0
1656072842.0,0
1655375996.0,0
1657551888.0,0
1657536013.0,0
1657563359.0,0
1657545351.0,0
1655393727.0,0
1658902950.0,0
1657634792.0,0
1655481498.0,0
1655731598.0,0
1655387172.0,0
1657720904.0,0
1655745648.0,0
1657697756.0,0
1655736067.0,0
1657615144.0,0
1657625698.0,0
1657634724.0,0
1656602951.0,0
1657639514.0,0
1656606091.0,0
1655381052.0,0
1657654899.0,0
1658079132.0,0
1656569519.0,0
1656667695.0,0
1659530488.0,0
1657115083.0,0
1656593264.0,0
1656575509.0,0
1651852425.0,0
1657178494.0,0
1656588916.0,0
1651148246.0,0
1664379659.0,0
1659611466.0,0
1659617422.0,0
1660118819.0,0
1659518798.0,0
1657114346.0,0
1662569675.0,0
1653038730.0,0
1653906505.0,0
1661422106.0,1
1650546975.0,0
1654465278.0,0
1653993272.0,0
1651876526.0,0
1649855324.0,0
1657106017.0,0
1658927065.0,0
1658494234.0,0
1659706741.0,0
1657628609.0,0
1660300380.0,0
1659970720.0,0
1660745597.0,0
1660740022.0,0
1660663406.0,0
1659542983.0,0
