event_date,session_timestamp,event_wday,user_id,user_customer_id,session_id,ga_session_number,customer_type,session_duration_microseconds,completed_transaction,signed_up,transaction_value,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive
05/08/2022,1.65968E+15,Friday,9fb157a06841e2ddf8e1af3a8e62754c,wpb1zPIaWdZuB47HdayII4IRHsH3,1659679992,1,New Visitor,4243267000,0,1,,43,1,1,19,0,7019003,0,0,0,0
05/08/2022,1.65969E+15,Friday,B69817DCE7444D4B8BA14F387463C32E,JKuDppnNQuRYN1r266Kshtg4ZxH2,1659694802,1,New Visitor,95345021,0,1,,19,0,5,4,0,14011003,0,0,0,0
17/06/2022,1.65545E+15,Friday,891BFF7D21144FB0BBD1B3454D9B2E02,,1655454534,1,New Visitor,182002,0,0,,3,0,0,0,0,0,0,0,0,0
17/06/2022,1.65545E+15,Friday,891BFF7D21144FB0BBD1B3454D9B2E02,JpjD54pHONhG9LexFWxuZHe3NmE2,1655454534,1,New Visitor,2439004,0,0,,3,0,0,2,0,2421003,0,0,0,0
17/06/2022,1.65545E+15,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,,1655454704,1,New Visitor,0,0,0,,1,0,0,0,0,0,0,0,0,0
17/06/2022,1.65545E+15,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,JpjD54pHONhG9LexFWxuZHe3NmE2,1655454704,1,New Visitor,15352001,0,0,,5,0,0,0,0,5107002,0,0,0,0
17/06/2022,1.65546E+15,Friday,2c2d94b21b842bd82da93c9cbfc4d5c2,,1655456593,1,New Visitor,66965009,0,0,,6,0,0,0,0,1626505993,0,0,0,0
17/06/2022,1.65546E+15,Friday,2c2d94b21b842bd82da93c9cbfc4d5c2,sif4IFFqSkh4Z7UqmpS5witqzfS2,1655456593,1,New Visitor,254610000,0,0,,17,0,0,20,0,55506006,0,16,0,0
17/06/2022,1.65546E+15,Friday,A6950E3E47C4415E92EE3CAEAC407615,,1655458265,1,New Visitor,13112008,0,0,,7,0,0,0,0,0,0,0,0,0
17/06/2022,1.65546E+15,Friday,7CE00576105E4085A08B601666037B5A,,1655458438,1,New Visitor,6781008,0,0,,7,0,0,0,0,0,0,0,0,0
17/06/2022,1.65546E+15,Friday,DA748FA4CE694AE1BD30BE17B4408557,,1655460583,1,New Visitor,9486008,0,0,,7,0,0,0,0,0,0,0,0,0
17/06/2022,1.65546E+15,Friday,2de8b55c73dfdf5310445a0a910249d3,,1655460692,1,New Visitor,10301004,0,0,,4,0,0,0,0,0,0,0,0,0
17/06/2022,1.65546E+15,Friday,30280E3F528B4AFD924FCCA6D3D3F69A,,1655461468,1,New Visitor,10035008,0,0,,7,0,0,0,0,0,0,0,0,0
17/06/2022,1.65548E+15,Friday,306E3ED6513342D099F412838090E30B,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655481498,1,New Visitor,481166003,0,0,,9,0,0,5,0,51024005,0,1,0,0
17/06/2022,1.65548E+15,Friday,306E3ED6513342D099F412838090E30B,,1655481498,1,New Visitor,41475003,0,0,,10,0,0,0,0,0,0,0,0,0
17/06/2022,1.65548E+15,Friday,542FA9F38631432589D3C1645C90E7CF,,1655482100,1,New Visitor,343003,0,0,,4,0,0,0,0,0,0,0,0,0
17/06/2022,1.65548E+15,Friday,542FA9F38631432589D3C1645C90E7CF,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655482100,1,New Visitor,33707002,0,0,,2,0,0,5,0,14575000,0,4,0,0
17/06/2022,1.65545E+15,Friday,0495BC21A08B47E984EDDE3E2A07C8D4,3kg2y8EKCHXUgRdLIlgE3exjLqF3,1655454704,1,New Visitor,195973004,0,1,,65,0,1,19,0,38112006,0,0,0,0
17/06/2022,1.65546E+15,Friday,2c2d94b21b842bd82da93c9cbfc4d5c2,eBonfvLErHOdIBo1ln4MimTOtO53,1655456593,1,New Visitor,986634002,0,1,,34,0,1,10,0,92720007,0,3,0,0
17/06/2022,1.65546E+15,Friday,DA748FA4CE694AE1BD30BE17B4408557,o1GaW08fHohHFrJRTpHallqxRUz2,1655460583,1,New Visitor,260736003,0,1,,49,0,1,14,0,27436013,0,0,0,0
17/06/2022,1.65546E+15,Friday,30280E3F528B4AFD924FCCA6D3D3F69A,BRqsgGS5vJRQ9z1CnWLa2CT2ia22,1655461468,1,New Visitor,91020005,0,1,,11,0,1,2,0,19024000,0,0,0,0
17/06/2022,1.65546E+15,Friday,2de8b55c73dfdf5310445a0a910249d3,1oI6MYCl35e4kKCoOYzuOQvr9lO2,1655460692,1,New Visitor,1731308002,0,1,,32,0,3,4,0,108608996,0,0,0,0
17/06/2022,1.65546E+15,Friday,A6950E3E47C4415E92EE3CAEAC407615,yhsSQGnSDvTzV0F04zcUt3dah2R2,1655458265,1,New Visitor,2971697000,0,1,,80,0,9,6,0,441147999,0,0,0,0
17/06/2022,1.65546E+15,Friday,7CE00576105E4085A08B601666037B5A,PFKkChj9lhTaqVxaVbWRGrOdNa52,1655458438,1,New Visitor,2881089004,0,1,,98,0,18,15,1,638541034,0,0,0,0
